Event,Site,Date,Round,White,Black,Result,BlackClock,BlackElo,BlackIsComp,BlackRD,ECO,FICSGamesDBGameNo,PlyCount,Time,TimeControl,WhiteClock,WhiteElo,WhiteRD,AvgEvalOpening,AvgEvalMiddle,AvgEvalEnd,AvgEmtOpening,AvgEmtMiddle,AvgEmtEnd,ResultComment,WhiteIsComp
FICS rated standard game,FICS freechess.org,2022.06.16,?,samoobrana,konozrout,1-0,0:15:00.000,2249,Yes,42.9,E02,511881329,85,11:30:00,900+0,0:15:00.000,2553,159.6,41.689655172413794,55.035714285714285,369.3157894736842,1.153857142857143,1.8475714285714282,1.0837142857142856,[%emt 4.925] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.15,?,kunde,blore,1-0,0:15:00.000,1988,,20.1,B21,511881060,49,08:12:00,900+0,0:15:00.000,2028,28.4,-13.470588235294118,69.625,585.1875,4.548125000000001,1.90975,0.902625,[%emt 6.288] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,IFDThor,gerichan,0-1,1:30:00.000,1962,,31.9,A44,511881038,122,10:46:00,5400+90,1:30:00.000,2136,30.9,10.902439024390244,-99.85,-623.875,0.332775,1.5791499999999998,0.4709250000000001,[%emt 7.888] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,gerichan,IFDThor,0-1,1:30:00.000,2132,Yes,31.0,B12,511880704,78,10:01:00,5400+90,1:30:00.000,1966,32.0,130.92592592592592,174.84615384615384,126.52,0.9603846153846154,1.0866923076923078,1.4132000000000002,[%emt 0.1] White forfeits by disconnection,
FICS rated standard game,FICS freechess.org,2022.06.16,?,IFDThor,gerichan,1-0,1:30:00.000,1971,,32.2,A44,511880623,93,09:44:00,5400+90,1:30:00.000,2127,31.1,-19.3125,-249.3548387096774,-73.36666666666666,0.2830645161290322,0.9249354838709679,1.9250333333333336,[%emt 0.1] Black forfeits by disconnection,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,GoldBarMM,konozrout,1-0,0:15:00.000,2249,Yes,43.0,B01,511880515,51,09:24:00,900+1,0:15:00.000,2782,53.6,50.111111111111114,217.11764705882354,710.5833333333334,1.3532941176470588,3.987647058823529,1.9978125,[%emt 9.406] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,Indrayoga,MichaelOgbeide,1-0,0:15:00.000,2153,,38.8,B31,511880460,47,09:09:00,900+0,0:15:00.000,2103,43.6,60.5,78.73333333333333,44.916666666666664,0.43633333333333335,2.122266666666667,6.617033333333333,[%emt 8.522] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,konozrout,GoldBarMM,0-1,0:15:00.000,2781,Yes,53.7,C25,511880256,48,08:42:00,900+1,0:15:00.000,2250,43.1,20.470588235294116,-194.0625,-577.2,0.833125,4.430375,4.1024666666666665,[%emt 10.173] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,gerichan,IFDThor,1/2-1/2,1:30:00.000,2130,Yes,31.1,B12,511880213,168,08:19:00,5400+90,1:30:00.000,1968,32.3,121.36842105263158,4.089285714285714,24.945454545454545,0.994125,2.1356428571428574,0.7453454545454545,[%emt 0.1] Game drawn by mutual agreement,
FICS rated standard game,FICS freechess.org,2022.06.16,?,GoldBarMM,konozrout,1-0,0:15:00.000,2251,Yes,43.1,C49,511880180,97,08:19:00,900+1,0:15:00.000,2780,53.8,-17.21212121212121,380.4375,628.90625,1.30415625,4.01021875,3.0926875000000003,[%emt 9.25] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,MichaelOgbeide,blore,1-0,0:15:00.000,1980,,20.2,C55,511880035,129,07:48:00,900+0,0:15:00.000,2149,39.0,26.931818181818183,31.372093023255815,339.5,1.2547674418604653,1.5011627906976743,1.9939999999999998,[%emt 4.155] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,konozrout,GoldBarMM,0-1,0:15:00.000,2779,Yes,53.9,C34,511879946,58,07:36:00,900+1,0:15:00.000,2252,43.2,-50.8,-240.89473684210526,-759.6153846153846,2.0881578947368418,3.7500526315789475,1.9973684210526315,[%emt 0.1] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,blore,MichaelOgbeide,0-1,0:15:00.000,2144,,39.2,C14,511879933,148,07:25:00,900+0,0:15:00.000,1985,20.2,17.66,-280.2448979591837,-722.3877551020408,0.7509591836734695,1.9669183673469386,1.4901836734693878,[%emt 2.114] White resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,IFDThor,gerichan,1-0,1:30:00.000,1973,,32.4,A80,511879765,29,06:46:00,5400+90,1:30:00.000,2125,31.2,51.0,56.55555555555556,159.61111111111111,0.24255555555555558,0.699,0.9857222222222222,[%emt 0.1] Black forfeits by disconnection,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,Slek,blore,1-0,0:15:00.000,1987,,20.4,D85,511879729,75,06:28:00,900+0,0:15:00.000,2123,40.8,-3.1538461538461537,273.48,386.2083333333333,1.34952,2.89388,5.059708333333333,[%emt 31.101] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,gerichan,IFDThor,1-0,1:30:00.000,2137,Yes,31.3,B22,511879638,75,06:23:00,5400+90,1:30:00.000,1961,32.5,100.03846153846153,473.0,620.0416666666666,0.8493200000000001,1.1366,1.8898333333333337,[%emt 6.69] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,GoldBarMM,pikozrout,1-0,0:15:00.000,2197,Yes,50.2,C63,511879490,99,05:30:00,900+1,0:15:00.000,2778,54.0,53.61764705882353,85.39393939393939,526.0,0.7192424242424242,3.2414848484848484,3.2102812500000004,[%emt 0.109] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,IFDThor,gerichan,1-0,1:30:00.000,1965,,32.6,A44,511879472,83,05:35:00,5400+90,1:30:00.000,2133,31.3,12.678571428571429,-252.33333333333334,-305.27777777777777,0.24337037037037035,0.928925925925926,2.4112222222222224,[%emt 0.1] Black forfeits by disconnection,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,gerichan,IFDThor,0-1,1:30:00.000,2128,Yes,31.4,B22,511879221,60,04:15:00,5400+90,1:30:00.000,1970,32.7,47.42857142857143,22.25,-234.3684210526316,0.33519999999999994,1.2381500000000003,1.4822105263157896,[%emt 0.1] White forfeits by disconnection,
FICS rated standard game,FICS freechess.org,2022.06.16,?,IFDThor,gerichan,1-0,1:30:00.000,1975,,32.9,A44,511879201,45,04:04:00,5400+90,1:30:00.000,2123,31.5,85.875,-320.0,-115.64285714285714,0.29706666666666665,0.47473333333333323,0.9619999999999999,[%emt 0.1] Black forfeits by disconnection,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,damouno,entrenamiento,1-0,0:15:00.000,1809,,30.2,A03,511878818,91,02:00:00,900+0,0:15:00.000,2295,46.6,109.45161290322581,311.8333333333333,556.9666666666667,1.0596666666666665,1.7486333333333333,1.152033333333333,[%emt 1.65] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,entrenamiento,damouno,0-1,0:15:00.000,2294,,46.7,A40,511878774,78,01:44:00,900+0,0:15:00.000,1810,30.2,46.851851851851855,-90.61538461538461,-440.0,0.8987692307692309,1.594,2.82824,[%emt 1.718] White checkmated,
FICS rated standard game,FICS freechess.org,2022.06.16,?,damouno,mcstorytaller,1-0,0:15:00.000,1923,,30.4,A03,511878678,107,01:22:00,900+0,0:15:00.000,2292,46.8,100.44444444444444,407.65714285714284,669.6911764705883,1.3205428571428572,0.8734285714285714,0.6109428571428572,[%emt 0.455] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,mcstorytaller,damouno,0-1,0:15:00.000,2290,,47.0,C02,511878651,128,01:05:00,900+0,0:15:00.000,1925,30.4,4.209302325581396,-154.47619047619048,-449.52941176470586,1.458595238095238,2.1455714285714285,0.6590357142857144,[%emt 1.492] White resigns,
FICS rated standard game,FICS freechess.org,2022.06.15,?,alextheseaman,blore,1-0,0:15:00.000,1993,,20.1,D91,511878248,89,22:43:00,900+0,0:15:00.000,2042,23.5,54.333333333333336,227.55172413793105,629.9827586206897,1.3245172413793105,4.041344827586207,1.9718448275862066,[%emt 2.556] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.15,?,damouno,guarionex,1-0,0:15:00.000,1861,,30.8,A02,511877774,129,20:57:00,900+0,0:15:00.000,2289,47.1,33.5,107.3953488372093,322.7857142857143,1.0176279069767442,1.0105116279069768,2.0005,[%emt 35.742] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.15,?,guarionex,damouno,0-1,0:15:00.000,2288,,47.2,B28,511877694,52,20:52:00,900+0,0:15:00.000,1862,30.8,11.666666666666666,113.94117647058823,386.06666666666666,0.6288235294117647,1.440235294117647,0.664235294117647,[%emt 2.357] White checkmated,
FICS rated standard game,FICS freechess.org,2022.06.15,?,Carsidi,pikozrout,0-1,0:15:00.000,2195,Yes,50.1,B21,511877603,34,20:27:00,900+0,0:15:00.000,1847,26.3,-17.833333333333332,-286.6363636363636,-585.4545454545455,2.2984545454545455,3.720181818181818,4.2090000000000005,[%emt 13.086] White resigns,
FICS rated standard game,FICS freechess.org,2022.06.15,?,SpeckEngine,coolchessteam,1-0,1:00:00.000,2179,,124.6,D45,511875643,61,13:35:00,3600+0,1:00:00.000,1991,40.9,10.857142857142858,226.3,210.1,3.5583,5.059100000000001,5.292949999999999,[%emt 78.88] Black forfeits by disconnection,Yes
FICS rated standard game,FICS freechess.org,2022.06.15,?,IFDThor,gerichan,0-1,1:30:00.000,1963,,32.6,A44,511875592,76,14:47:00,5400+90,1:30:00.000,2135,31.2,28.76923076923077,-229.76,-602.8666666666667,0.37955999999999995,1.35116,1.7394800000000004,[%emt 34.089] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.06.15,?,konozrout,samoobrana,0-1,0:15:00.000,2524,,168.7,B28,511875496,66,14:30:00,900+0,0:15:00.000,2255,42.8,-1.0434782608695652,-234.45454545454547,-699.0,0.9105000000000001,1.3367272727272725,2.0112380952380953,[%emt 5.17] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.06.15,?,hastrman,family,0-1,0:15:00.000,2052,,44.6,C10,511875313,120,13:45:00,900+0,0:15:00.000,2062,30.9,61.80487804878049,45.1,-307.12820512820514,2.666675,2.36385,2.0735897435897446,[%emt 2.776] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.06.15,?,SEPry,kamenozrout,1-0,0:15:00.000,2132,Yes,40.5,B43,511875205,119,13:30:00,900+0,0:15:00.000,2297,38.3,-10.85,37.38461538461539,372.6,2.0336153846153846,3.50776923076923,4.603448717948718,[%emt 0.1] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.15,?,gerichan,IFDThor,0-1,1:30:00.000,2131,Yes,31.2,B12,511875184,48,13:43:00,5400+90,1:30:00.000,1967,32.7,303.4117647058824,366.1875,136.36363636363637,0.394875,1.4265625,1.5415333333333336,[%emt 0.1] White checkmated,
FICS rated standard game,FICS freechess.org,2022.06.15,?,IFDThor,gerichan,1-0,1:30:00.000,1972,,32.8,A80,511874859,47,12:37:00,5400+90,1:30:00.000,2126,31.3,41.0625,-58.93333333333333,150.6,0.3324,1.4696666666666667,1.0293,[%emt 0.1] Black forfeits by disconnection,Yes
FICS rated standard game,FICS freechess.org,2022.06.15,?,gerichan,IFDThor,0-1,1:30:00.000,2121,Yes,31.4,B12,511874567,42,12:19:00,5400+90,1:30:00.000,1977,33.0,55.86666666666667,117.64285714285714,-81.3076923076923,0.31621428571428567,0.7117857142857142,1.1410769230769229,[%emt 0.1] White resigns,
FICS rated standard game,FICS freechess.org,2022.06.15,?,IFDThor,gerichan,1-0,1:30:00.000,1982,,33.2,A44,511874506,69,12:08:00,5400+90,1:30:00.000,2116,31.5,65.91666666666667,53.34782608695652,158.1818181818182,0.23321739130434774,0.7567826086956523,0.6793181818181818,[%emt 0.1] Black forfeits by disconnection,Yes
FICS rated standard game,FICS freechess.org,2022.06.15,?,gerichan,IFDThor,0-1,1:30:00.000,2111,Yes,31.6,B12,511874445,58,11:57:00,5400+90,1:30:00.000,1987,33.4,95.65,71.42105263157895,-465.6578947368421,0.30605263157894735,1.6676315789473686,1.4684736842105264,[%emt 0.1] White forfeits by disconnection,
